,Accuracy,F1,Precision,Recall,Precision-Recall Curve
id_320,0.8500258922576904,0.9024653434753418,0.9952458739280701,0.8255082964897156,"(tensor([0.8405, 0.9952, 1.0000]), tensor([1.0000, 0.8255, 0.0000]), tensor([0., 1.]))"
id_51,0.858208179473877,0.9084831476211548,0.9928404688835144,0.8373382687568665,"(tensor([0.8405, 0.9928, 1.0000]), tensor([1.0000, 0.8373, 0.0000]), tensor([0., 1.]))"
id_201,0.8591403365135193,0.9094178080558777,0.9895637035369873,0.8412815928459167,"(tensor([0.8405, 0.9896, 1.0000]), tensor([1.0000, 0.8413, 0.0000]), tensor([0., 1.]))"
id_250,0.8612118363380432,0.9104876518249512,0.9941648244857788,0.8398028612136841,"(tensor([0.8405, 0.9942, 1.0000]), tensor([1.0000, 0.8398, 0.0000]), tensor([0., 1.]))"
id_325,0.8613153696060181,0.9106201529502869,0.9934459924697876,0.840542197227478,"(tensor([0.8405, 0.9934, 1.0000]), tensor([1.0000, 0.8405, 0.0000]), tensor([0., 1.]))"
id_46,0.861004650592804,0.9109252691268921,0.9871960878372192,0.845594584941864,"(tensor([0.8405, 0.9872, 1.0000]), tensor([1.0000, 0.8456, 0.0000]), tensor([0., 1.]))"
id_116,0.8617296814918518,0.9111835956573486,0.9901677370071411,0.8438693881034851,"(tensor([0.8405, 0.9902, 1.0000]), tensor([1.0000, 0.8439, 0.0000]), tensor([0., 1.]))"
id_314,0.8639047145843506,0.9124816656112671,0.9928975105285645,0.8441158533096313,"(tensor([0.8405, 0.9929, 1.0000]), tensor([1.0000, 0.8441, 0.0000]), tensor([0., 1.]))"
id_246,0.8658726215362549,0.9140961766242981,0.9899425506591797,0.8490449786186218,"(tensor([0.8405, 0.9899, 1.0000]), tensor([1.0000, 0.8490, 0.0000]), tensor([0., 1.]))"
id_307,0.8663904666900635,0.9141601920127869,0.9936351776123047,0.8464571833610535,"(tensor([0.8405, 0.9936, 1.0000]), tensor([1.0000, 0.8465, 0.0000]), tensor([0., 1.]))"
id_310,0.8678404688835144,0.9155526161193848,0.9888491630554199,0.8523721694946289,"(tensor([0.8405, 0.9888, 1.0000]), tensor([1.0000, 0.8524, 0.0000]), tensor([0., 1.]))"
id_279,0.8683583736419678,0.9158668518066406,0.9894164800643921,0.8524953722953796,"(tensor([0.8405, 0.9894, 1.0000]), tensor([1.0000, 0.8525, 0.0000]), tensor([0., 1.]))"
id_105,0.8693941235542297,0.916273832321167,0.9933775067329407,0.8502772450447083,"(tensor([0.8405, 0.9934, 1.0000]), tensor([1.0000, 0.8503, 0.0000]), tensor([0., 1.]))"
id_39,0.8699119687080383,0.9173793196678162,0.9839141964912415,0.8592729568481445,"(tensor([0.8405, 0.9839, 1.0000]), tensor([1.0000, 0.8593, 0.0000]), tensor([0., 1.]))"
id_119,0.8714655637741089,0.9177981615066528,0.9922658205032349,0.8537276387214661,"(tensor([0.8405, 0.9923, 1.0000]), tensor([1.0000, 0.8537, 0.0000]), tensor([0., 1.]))"
id_19,0.872812032699585,0.9186539649963379,0.9932674169540405,0.8544670343399048,"(tensor([0.8405, 0.9933, 1.0000]), tensor([1.0000, 0.8545, 0.0000]), tensor([0., 1.]))"
id_311,0.8762299418449402,0.9210752248764038,0.9924566149711609,0.8592729568481445,"(tensor([0.8405, 0.9925, 1.0000]), tensor([1.0000, 0.8593, 0.0000]), tensor([0., 1.]))"
